Date,Open,High,Low,Close,Adj Close,Volume
2023-02-07,33.660000,35.060001,33.410000,34.900002,34.900002,59374000
2023-02-08,37.430000,37.580002,34.500000,36.830002,36.830002,109597800
2023-02-09,36.889999,37.360001,35.650002,35.889999,35.889999,44068500
2023-02-10,34.400002,35.398998,34.049999,34.299999,34.299999,41936400
2023-02-13,34.500000,34.520000,33.349998,33.439999,33.439999,35043700
2023-02-14,33.110001,35.360001,32.723999,35.230000,35.230000,38856500
2023-02-15,35.009998,36.240002,34.715000,36.230000,36.230000,31443800
2023-02-16,35.599998,36.730000,35.452000,36.220001,36.220001,28202700
2023-02-17,35.959999,36.230000,34.570000,34.770000,34.770000,27946700
2023-02-21,33.779999,34.389999,33.490002,34.200001,34.200001,24696800
2023-02-22,34.349998,35.169998,34.220001,34.540001,34.540001,23294000
2023-02-23,34.790001,34.799999,33.700001,34.470001,34.470001,23661700
2023-02-24,33.700001,33.919998,33.020000,33.400002,33.400002,19101000
2023-02-27,33.674999,33.849998,33.060001,33.549999,33.549999,19079100
2023-02-28,33.750000,34.000000,33.165001,33.259998,33.259998,17144000
2023-03-01,33.430000,33.580002,32.889999,32.990002,32.990002,14404700
2023-03-02,32.540001,33.799999,32.230000,33.689999,33.689999,17967400
2023-03-03,34.000000,34.590000,33.799999,34.570000,34.570000,14990400
2023-03-06,34.584999,35.110001,33.849998,33.880001,33.880001,18903000
2023-03-07,33.849998,35.000000,33.599998,34.139999,34.139999,25538400
2023-03-08,34.009998,34.630001,33.520000,34.009998,34.009998,16174300
2023-03-09,34.410000,34.520000,32.279999,32.320000,32.320000,27629700
2023-03-10,32.000000,32.035000,30.770000,31.110001,31.110001,32553600
2023-03-13,30.584999,31.084999,29.969999,30.820000,30.820000,24302600
2023-03-14,32.939999,33.419998,32.160000,32.360001,32.360001,34241800
2023-03-15,31.830000,32.235001,31.385000,31.969999,31.969999,28434900
2023-03-16,31.590000,32.900002,31.549999,32.730000,32.730000,20044700
2023-03-17,32.380001,32.470001,31.510000,31.780001,31.780001,27102500
2023-03-20,31.600000,32.360001,31.459999,31.930000,31.930000,14157800
2023-03-21,32.330002,33.139999,32.230000,32.860001,32.860001,19780200
2023-03-22,32.580002,32.720001,31.500000,31.520000,31.520000,24636400
2023-03-23,31.879999,32.200001,30.750000,31.180000,31.180000,16806900
2023-03-24,30.940001,31.150000,30.290001,30.750000,30.750000,14775300
2023-03-27,31.030001,31.040001,30.139999,30.620001,30.620001,17918000
2023-03-28,30.530001,30.860001,29.980000,30.070000,30.070000,23087300
2023-03-29,30.620001,30.900000,30.200001,30.870001,30.870001,18917500
2023-03-30,31.500000,31.850000,30.879999,31.190001,31.190001,16261300
2023-03-31,31.420000,31.844999,31.209999,31.700001,31.700001,14824600
2023-04-03,31.500000,31.754999,31.167000,31.459999,31.459999,23529100
2023-04-04,31.940001,32.130001,31.285000,31.389999,31.389999,15146900
2023-04-05,30.950001,31.235001,30.469999,31.120001,31.120001,17243300
2023-04-06,30.930000,31.490000,30.500000,31.180000,31.180000,14486900
2023-04-10,30.959999,31.785000,30.610001,31.740000,31.740000,16463100
2023-04-11,31.750000,31.799999,30.879999,31.120001,31.120001,16906500
2023-04-12,31.190001,31.450001,30.400000,30.590000,30.590000,15964900
2023-04-13,30.834999,31.590000,30.690001,31.440001,31.440001,15079600
2023-04-14,31.309999,31.620001,30.930000,31.480000,31.480000,11851900
2023-04-17,32.189999,32.189999,31.629999,32.080002,32.080002,25206200
2023-04-18,32.369999,32.930000,31.610001,31.730000,31.730000,18698600
2023-04-19,31.350000,32.369999,31.160000,32.040001,32.040001,13822000
2023-04-20,31.520000,32.040001,31.400000,31.500000,31.500000,12747100
2023-04-21,31.360001,31.459999,29.709999,30.830000,30.830000,40543100
2023-04-24,30.680000,31.059999,30.230000,30.680000,30.680000,14596200
2023-04-25,30.340000,30.469999,29.554001,29.590000,29.590000,20399200
2023-04-26,29.700001,30.120001,29.465000,29.680000,29.680000,14277100
2023-04-27,30.070000,30.170000,29.219999,29.700001,29.700001,27293700
2023-04-28,29.620001,31.270000,29.415001,31.049999,31.049999,28516100
2023-05-01,32.000000,33.000000,31.760000,32.740002,32.740002,49867100
2023-05-02,35.020000,36.625000,34.230000,36.520000,36.520000,102993500
2023-05-03,36.750000,38.349998,36.349998,37.840000,37.840000,68580800
2023-05-04,37.480000,37.799999,36.685001,37.490002,37.490002,44819400
2023-05-05,37.480000,37.950001,36.869999,37.750000,37.750000,24676200
2023-05-08,37.820000,38.930000,37.480000,38.830002,38.830002,30992100
2023-05-09,38.490002,38.580002,37.904999,38.189999,38.189999,19387000
2023-05-10,38.599998,38.950001,38.169998,38.790001,38.790001,19531500
2023-05-11,38.639999,39.180000,38.340000,38.419998,38.419998,16515600
2023-05-12,38.639999,39.230000,38.200001,38.450001,38.450001,21614700
2023-05-15,38.340000,38.480000,37.990002,38.139999,38.139999,17826600
2023-05-16,37.930000,38.150002,37.439999,37.439999,37.439999,21829100
2023-05-17,37.730000,37.955002,37.360001,37.840000,37.840000,19534400
2023-05-18,37.980000,39.490002,37.759998,39.250000,39.250000,27828100
2023-05-19,39.250000,39.490002,38.915001,39.180000,39.180000,19750800
2023-05-22,39.130001,40.500000,39.076000,39.169998,39.169998,27581600
2023-05-23,38.990002,39.650002,38.509998,38.660000,38.660000,18679400
2023-05-24,38.049999,38.660000,37.770000,37.959999,37.959999,22074700
2023-05-25,38.480000,38.584999,37.525002,37.950001,37.950001,18634200
2023-05-26,38.240002,38.759998,38.220001,38.450001,38.450001,14427900
2023-05-30,38.730000,39.060001,37.560001,37.560001,37.560001,18143200
2023-05-31,37.250000,38.049999,37.070000,37.930000,37.930000,34506300
2023-06-01,37.500000,38.500000,37.264999,38.480000,38.480000,17115300
2023-06-02,39.000000,39.889999,39.000000,39.730000,39.730000,21212000
2023-06-05,39.500000,40.790001,39.500000,40.419998,40.419998,24218600
2023-06-06,40.249001,40.730000,39.930000,40.250000,40.250000,14570100
2023-06-07,40.240002,40.250000,38.610001,38.990002,38.990002,23653900
2023-06-08,39.180000,40.630001,39.040001,40.259998,40.259998,20301800
2023-06-09,40.049999,41.000000,40.020000,40.990002,40.990002,21932700
2023-06-12,41.259998,41.744999,41.060001,41.740002,41.740002,15987700
2023-06-13,41.750000,41.830002,40.889999,41.410000,41.410000,16659600
2023-06-14,41.299999,41.590000,40.570000,41.270000,41.270000,15077600
2023-06-15,41.020000,43.750000,40.939999,43.360001,43.360001,41477800
2023-06-16,43.070000,43.665001,42.529999,43.520000,43.520000,27981000
